20 50
1
20 50
1 7 -6334
9 4 11478
2 4 5705
1 11 2995
7 16 32391
2 13 292
18 15 5447
11 18 1869
7 19 17035
3 11 31322
13 8 25547
2 17 20037
9 18 12316
10 2 288
0 2 19264
6 5 15890
6 1 24393
4 14 -18756
4 12 6270
17 13 5097
6 10 9161
15 7 23655
11 12 -27350
1 4 -13966
7 11 18007
17 7 27753
5 9 32209
1 8 6422
6 10 16413
0 11 18762
10 19 27624
8 3 27595
2 10 10291
14 0 4596
8 19 19668
1 14 53
18 18 6900
7 7 3728
8 3 17807
10 17 22813
9 16 18935
0 9 16519
18 3 6224
4 9 14989
15 5 3093
3 7 29314
8 0 13458
0 16 14798
9 18 28009
12 2 18538
10
