12 60 
5 11 -6334
5 4 11478
10 8 5705
1 3 9961
7 2 4827
3 0 3902
4 10 17421
2 11 5447
11 6 1869
11 3 31322
9 8 15141
5 4 25547
10 9 20037
11 9 27529
4 11 22190
0 10 9040
4 4 27446
2 9 -24370
6 9 24393
9 11 24084
0 8 4966
11 4 16944
2 7 5537
2 6 22929
9 11 4639
0 6 13977
5 6 5021
8 4 6270
5 9 5097
10 6 9161
11 11 23655
11 4 -27350
9 4 -13966
3 11 18007
1 11 27753
5 5 32209
5 0 6422
2 10 16413
0 11 18762
10 11 27624
8 3 27595
2 2 10291
2 4 4596
0 3 19668
1 6 53
6 2 6900
7 11 3728
0 7 17807
6 5 22813
5 8 18935
8 5 16519
10 3 6224
0 5 14989
3 1 3093
7 3 29314
8 0 13458
0 8 14798
5 2 28009
0 6 18538
2 11 18190

